faixa_etaria,orientsex,idgen,intersex,raca,idade,ondmora,defic,qualdefic,escol,ufnasc
44 a 48 anos,Gay/ Bicha,Travesti,Sim,Negra,44.0,SANTO CRISTO,Não,Sem informação,Ensino fundamental completo,Rio de Janeiro
39 a 43 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Negra,36.0,MARÉ,Não,Sem informação,Pós-graduação incompleta,Rio de Janeiro
39 a 43 anos,Heterossexual,Mulher trans,Não,Negra,38.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
34 a 38 anos,Bissexual,Travesti,Não,Negra,33.0,DIVINEIA,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Heterossexual,Homem trans,Não,Branca,23.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Não,Negra,22.0,NÃO MORO EM COMUNIDADE,Não tenho certeza,Sem informação,Ensino médio  incompleto,Pernambuco
39 a 43 anos,Homossexual,Mulher trans,Não,Branca,40.0,MANGUINHOS,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
34 a 38 anos,Heterossexual,Mulher trans,Não,Negra,31.0,COMUNIDADE DO CACARECO,Não,Sem informação,Ensino médio completo,Rio de Janeiro
28 a 33 anos,Heterossexual,Mulher trans,Não,Negra,29.0,JACAREZINHO,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,24.0,COMPLEXO DO BOAÇÚ,Não,Sem informação,Ensino superior completo,Rio de Janeiro
34 a 38 anos,Gay/ Bicha,Homem Cisgênero,Não,Branca,34.0,MARÉ,Não,Sem informação,Ensino médio completo,Paraíba
23 a 27 anos,Bissexual,Homem Cisgênero,Não,Branca,25.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
34 a 38 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,31.0,MANGUEIRINHA/DUQUE DE CAXIAS,Não,Sem informação,Pós-graduação incompleta,Rio de Janeiro
28 a 33 anos,Assexual,Não binária,Não,Sem informação,29.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
18 a 22 anos,Gay/ Bicha,Mulher trans,Não,Negra,18.0,FURK MENDES,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
44 a 48 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Negra,41.0,FURQUIM MENDES,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
39 a 43 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Branca,37.0,FURQUIM MENDES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
39 a 43 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Branca,37.0,FURQUIM MENDES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
23 a 27 anos,Lésbica/ Sapatão,Mulher trans,Sim,Negra,24.0,DICK,Não,Sem informação,Sem instrução,Rio de Janeiro
23 a 27 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,22.0,COMUNIDADE DA FURK MENDES,Não,Sem informação,Ensino médio completo,Rio de Janeiro
39 a 43 anos,Bissexual,Mulher Cisgênera,Sim,Branca,37.0,FURQUIM MENDES,Não,Sem informação,Ensino médio técnico completo,Rio de Janeiro
18 a 22 anos,Gay/ Bicha,Homem trans,Não,Negra,20.0,JARDIM AMÉRICA,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Bissexual,Mulher Cisgênera,Sim,Negra,21.0,DICK,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
28 a 33 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,29.0,BELFORD ROXO BAIXADA FLUMINENSE,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
49 a 53 anos,Homossexual,Homem Cisgênero,Não,Branca,49.0,Sem informação,Não,Sem informação,Ensino superior completo,Pernambuco
18 a 22 anos,Bissexual,Mulher Cisgênera,Não,Negra,20.0,VILA PAULINE,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Não,Negra,21.0,PACIÊNCIA - CESARINHO,Não,Sem informação,Ensino médio completo,Rio de Janeiro
34 a 38 anos,Lésbica/ Sapatão,Mulher Cisgênera,Talvez,Negra,34.0,PALMARES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
23 a 27 anos,Bissexual,Mulher Cisgênera,Não,Negra,24.0,NÃO MORO EM COMUNIDADE,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
23 a 27 anos,Bissexual,Mulher Cisgênera,Não,Negra,24.0,NÃO MORO EM COMUNIDADE,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
18 a 22 anos,Gay/ Bicha,Homem trans,Não,Negra,20.0,PALMARES,Sim,Intelectual,Ensino médio  incompleto,Rio de Janeiro
54 a 58 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,51.0,PALMARES,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
23 a 27 anos,Gay/ Bicha,Não binária,Sim,Negra,24.0,PALMARES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
54 a 58 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,51.0,PALMARES,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
34 a 38 anos,Heterossexual,Mulher trans,Não,Branca,33.0,PALMARES,Não,Sem informação,Ensino médio  incompleto,Minas gerais
23 a 27 anos,Heterossexual,Travesti,Não,Branca,24.0,PALMARES,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Não,Negra,21.0,PALMARES,Não,Sem informação,Cursos profissionalizantes ou de capacitação,Rio de Janeiro
28 a 33 anos,Heterossexual,Mulher trans,Não,Negra,27.0,PALMARES,Não,Sem informação,Ensino superior completo,Rio de Janeiro
39 a 43 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Negra,37.0,MORRO CANTAGALO,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Bissexual,Mulher Cisgênera,Não,Negra,25.0,COMPLEXO DO ALEMÃO,Não,Sem informação,Ensino médio completo,Rio de Janeiro
49 a 53 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Branca,47.0,ACARI,Não,Sem informação,Ensino superior completo,Rio de Janeiro
28 a 33 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Branca,29.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Ceará
28 a 33 anos,Gay/ Bicha,Travesti,Não,Negra,29.0,MARÉ,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Não,Negra,22.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Gay/ Bicha,Homem Cisgênero,Não,Branca,25.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
18 a 22 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,19.0,MARÉ,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
18 a 22 anos,Bissexual,Homem Cisgênero,Não,Negra,19.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
28 a 33 anos,Pansexual,Não binária,Não,Branca,27.0,NÃO MORO EM COMUNIDADE,Não,Sem informação,Pós-graduação incompleta,Minas gerais
23 a 27 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,23.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
34 a 38 anos,Bissexual,Mulher Cisgênera,Não,Branca,34.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Sim,Branca,21.0,CIDADE DE DEUS,Não tenho certeza,Sem informação,Ensino fundamental incompleto,Pernambuco
39 a 43 anos,Heterossexual,Mulher trans,Não,Negra,38.0,CIDADE DE DEUS,Não,Sem informação,Ensino fundamental completo,Rio de Janeiro
34 a 38 anos,Pansexual,Mulher trans,Não,Negra,32.0,CIDADE DE DEUS,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
,Bissexual,Mulher trans,Sem informação,Negra,-1.0,CIDADE DE DEUS,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
44 a 48 anos,Heterossexual,Travesti,Não,Negra,45.0,CIDADE DE DEUS,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Heterossexual,Não binária,Não,Branca,22.0,NÃO MORO EM COMUNIDADE,Não,Sem informação,Ensino médio completo,Rio de Janeiro
28 a 33 anos,Nenhuma dessas opções,Mulher trans,Não,Negra,27.0,CIDADE DE DEUS,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
28 a 33 anos,Gay/ Bicha,Homem Cisgênero,Talvez,Negra,29.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Heterossexual,Travesti,Não,Negra,21.0,NÃO MORO EM COMUNIDADE,Não,Sem informação,Ensino superior incompleto,Sergipe
18 a 22 anos,Bissexual,Travesti,Não,Negra,20.0,ROCINHA,Não,Sem informação,Cursos profissionalizantes ou de capacitação,Rio de Janeiro
28 a 33 anos,Heterossexual,Mulher trans,Não,Negra,26.0,ROCINHA,Não tenho certeza,Sem informação,Ensino fundamental incompleto,Ceará
18 a 22 anos,Heterossexual,Mulher trans,Não,Negra,18.0,ROCINHA,Não,Sem informação,Ensino médio completo,Rio de Janeiro
28 a 33 anos,Heterossexual,Mulher trans,Não,Negra,28.0,ROCINHA,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
28 a 33 anos,Heterossexual,Mulher trans,Não,Negra,27.0,ROCINHA,Não,Sem informação,Ensino médio completo,Rio de Janeiro
34 a 38 anos,Heterossexual,Mulher trans,Não,Negra,34.0,ROCINHA,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
28 a 33 anos,Heterossexual,Travesti,Não,Negra,26.0,ROCINHA,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
34 a 38 anos,Heterossexual,Mulher trans,Não,Negra,34.0,ROCINHA,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
34 a 38 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,31.0,MANGUEIRINHA/DUQUE DE CAXIAS,Não,Sem informação,Pós-graduação incompleta,Rio de Janeiro
23 a 27 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Negra,23.0,ENGENHO DA RAINHA,Não,Sem informação,Ensino superior completo,São Paulo
28 a 33 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,27.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Negra,23.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Gay/ Bicha,Mulher trans,Não,Negra,21.0,VILA CRUZEIRO,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
39 a 43 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,36.0,VILA CRUZEIRO,Não,Sem informação,Ensino médio completo,Rio Grande do Norte
23 a 27 anos,Homossexual,Travesti,Não,Negra,25.0,VILA CRUZEIRO,Não,Sem informação,Ensino médio completo,Rio de Janeiro
28 a 33 anos,Sem informação,Mulher trans,Sim,Negra,29.0,CAJUEIRO,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
18 a 22 anos,Heterossexual,Travesti,Sim,Negra,19.0,VILA CRUZEIRO,Sim,Física,Ensino fundamental completo,Rio de Janeiro
,Heterossexual,Travesti,Sim,Negra,-1.0,VILA CRUZEIRO,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
28 a 33 anos,Heterossexual,Homem trans,Não,Negra,26.0,JACAREZINHO,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
44 a 48 anos,Heterossexual,Mulher trans,Não,Negra,45.0,COMPLEXO DO ALEMÃO,Não,Sem informação,Ensino médio completo,Rio Grande do Norte
23 a 27 anos,Heterossexual,Mulher trans,Sim,Negra,22.0,MORRO DOS PRAZERES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
23 a 27 anos,Pansexual,Não binária,Não,Negra,25.0,PAVUNA,Não,Sem informação,Ensino médio técnico completo,Rio de Janeiro
23 a 27 anos,Bissexual,Mulher Cisgênera,Não,Indígena,22.0,MARÉ,Não,Sem informação,Ensino superior completo,Amazonas
34 a 38 anos,Nenhuma dessas opções,Mulher trans,Não,Negra,32.0,CERRO CORA,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
28 a 33 anos,Bissexual,Homem Cisgênero,Não,Negra,26.0,MARÉ,Não,Sem informação,Ensino superior completo,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Não,Negra,23.0,MARÉ,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
54 a 58 anos,Heterossexual,Travesti,Não,Branca,53.0,MARÉ,Não,Sem informação,Ensino superior completo,Rio de Janeiro
18 a 22 anos,Bissexual,Mulher trans,Não,Indígena,19.0,MARÉ,Não,Sem informação,Ensino fundamental completo,Rio de Janeiro
34 a 38 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,34.0,PALMARES,Não,Sem informação,Ensino médio completo,Rio de Janeiro
28 a 33 anos,Heterossexual,Mulher trans,Não,Negra,27.0,SANTA CRUZ,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
18 a 22 anos,Bissexual,Mulher trans,Não,Negra,19.0,PALMARES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
44 a 48 anos,Homossexual,Homem trans,Não,Negra,45.0,PALMARES,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
28 a 33 anos,Heterossexual,Mulher trans,Não,Negra,28.0,PALMARES,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Heterossexual,Mulher trans,Não,Negra,24.0,PALMARES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
28 a 33 anos,Gay/ Bicha,Homem Cisgênero,Sim,Negra,29.0,PALMARES,Não,Sem informação,Ensino médio completo,Pará
44 a 48 anos,Gay/ Bicha,Mulher trans,Não,Negra,41.0,PALMARES,Não,Sem informação,Ensino médio completo,Rio de Janeiro
34 a 38 anos,Heterossexual,Mulher trans,Não,Negra,33.0,PALMARES,Não,Sem informação,Ensino médio  incompleto,Rio de Janeiro
39 a 43 anos,Bissexual,Travesti,Não,Negra,40.0,RAMOS,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
23 a 27 anos,Pansexual,Travesti,Não,Negra,23.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
39 a 43 anos,Heterossexual,Mulher trans,Não,Negra,38.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
28 a 33 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Negra,28.0,MARÉ,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
54 a 58 anos,Gay/ Bicha,Homem Cisgênero,Não,Branca,54.0,MARÉ,Sim,Física,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Bissexual,Homem Cisgênero,Não,Branca,21.0,VILA KENNEDY,Não,Sem informação,Ensino superior incompleto,Paraíba
23 a 27 anos,Bissexual,Mulher Cisgênera,Não,Negra,22.0,VILA KENNEDY,Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
23 a 27 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Negra,24.0,"FAVELA DA CAROBINHA, CAMPO GRANDE (ZO-RJ)",Não,Sem informação,Ensino superior incompleto,Rio de Janeiro
28 a 33 anos,Bissexual,Homem Cisgênero,Não,Branca,30.0,MARÉ,Não,Sem informação,Pós-graduação incompleta,Rio de Janeiro
49 a 53 anos,Gay/ Bicha,Homem Cisgênero,Não,Negra,48.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
34 a 38 anos,Heterossexual,Travesti,Não,Negra,32.0,MARÉ,Não,Sem informação,Ensino fundamental incompleto,Rio de Janeiro
39 a 43 anos,Heterossexual,Travesti,Não,Negra,38.0,MARÉ,Não,Sem informação,Ensino médio completo,Rio de Janeiro
23 a 27 anos,Bissexual,Mulher Cisgênera,Não,Branca,23.0,CEILÂNDIA - DF,Não,Sem informação,Ensino superior completo,Distrito Federal
28 a 33 anos,Lésbica/ Sapatão,Mulher Cisgênera,Não,Branca,28.0,NÃO MORO EM COMUNIDADE,Não,Sem informação,Pós-graduação completa,Rio de Janeiro
39 a 43 anos,Heterossexual,Mulher trans,Não,Negra,36.0,FAZENDINHA,Não,Sem informação,Ensino superior completo,Rio de Janeiro